method,method_label,region,eps,seed,lr_power,utility_jaccard,distortion_mae
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,3,0.1333333333333333,0.5086206896551724,0.4918509780618824
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,4,0.0166666666666666,0.493127147766323,0.4895297359756738
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,5,0.1,0.5069204152249135,0.4940092312993131
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,6,0.1666666666666666,0.5189003436426117,0.5060678755885337
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,7,0.0916666666666666,0.5094664371772806,0.5421691470482658
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,8,0.1166666666666666,0.4956822107081174,0.4948085006391298
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,9,0.025,0.5094664371772806,0.4946306336372778
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,10,0.1083333333333333,0.5137931034482759,0.4791299587385702
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,11,0.0583333333333333,0.490566037735849,0.5104350102471175
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,12,0.075,0.5025817555938038,0.4949775468503987
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,13,0.0333333333333333,0.486254295532646,0.5081533161570472
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,14,0.05,0.5496575342465754,0.5142611309788768
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,15,0.0166666666666666,0.5147313691507799,0.4872861089632923
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,16,0.1333333333333333,0.5181347150259067,0.4926213988738308
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,17,0.0083333333333333,0.4828178694158075,0.4959929673120011
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,18,0.0083333333333333,0.5,0.4995460774041833
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,19,0.0666666666666666,0.5,0.497921965080324
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,20,0.075,0.5155709342560554,0.4988150506462208
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,21,0.0416666666666666,0.5077186963979416,0.4895319573096744
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,22,0.1416666666666666,0.4974182444061962,0.4932978261626644
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,23,0.1666666666666666,0.5258620689655172,0.480617686939069
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,24,0.1,0.5103092783505154,0.4970216100736572
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,25,0.0916666666666666,0.511986301369863,0.506556527602119
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,26,0.0583333333333333,0.5481099656357389,0.4923474263153631
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,27,0.025,0.5060240963855421,0.5002555922526273
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,28,0.025,0.5327586206896552,0.5038668148939427
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,29,0.2083333333333333,0.5173010380622838,0.4833338813255892
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,0,0.025,0.5197934595524957,0.497395532207571
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,1,0.0916666666666666,0.4956822107081174,0.4650792180574026
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,2,0.05,0.531951640759931,0.5034601213390644
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,3,0.15,0.5103806228373703,0.4839309027685455
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,4,0.025,0.4913494809688581,0.4793332142542826
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,5,0.0333333333333333,0.5060658578856152,0.4857317531205055
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,6,0.1666666666666666,0.5224137931034483,0.5030247328157946
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,7,0.1083333333333333,0.5077452667814114,0.5328024608103391
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,8,0.1083333333333333,0.4939550949913644,0.4875792963084971
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,9,0.0166666666666666,0.5017241379310344,0.4874735158012066
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,10,0.1833333333333333,0.5103806228373703,0.4736423144350579
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,11,0.0666666666666666,0.493103448275862,0.5024948568566776
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,12,0.0833333333333333,0.5008635578583766,0.4885482361629173
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,13,0.025,0.486254295532646,0.502167533430888
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,14,0.0583333333333333,0.548885077186964,0.507027681212419
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,15,0.025,0.512998266897747,0.482193676974352
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,16,0.1333333333333333,0.5181975736568457,0.486469216431848
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,17,0.0166666666666666,0.4802065404475043,0.4910602590918241
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,18,0.0083333333333333,0.5017123287671232,0.4950877463819803
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,19,0.0666666666666666,0.5034602076124568,0.4878500375063636
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,20,0.075,0.5182608695652174,0.4942449722208195
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,21,0.05,0.5060034305317325,0.4835258702518606
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,22,0.1416666666666666,0.4948096885813148,0.4861678765724447
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,23,0.15,0.5241379310344828,0.4745003518174426
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,24,0.1166666666666666,0.5120689655172413,0.4914073865077786
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,25,0.1083333333333333,0.5094339622641509,0.4975128820744378
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,26,0.0666666666666666,0.5465517241379311,0.4832194642977259
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,27,0.05,0.504302925989673,0.4964307399169976
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,28,0.025,0.5293103448275862,0.4975491700626461
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.3,29,0.1333333333333333,0.5147313691507799,0.4772240704290052
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,0,0.0333333333333333,0.5043177892918825,0.4731516875849905
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,1,0.0583333333333333,0.488695652173913,0.4458796315214378
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,2,0.0416666666666666,0.5296167247386759,0.480590810903214
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,3,0.175,0.5043782837127846,0.4586334292361052
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,4,0.0333333333333333,0.4912891986062718,0.4576659657449413
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,5,0.075,0.5017421602787456,0.4671517381646842
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,6,0.15,0.5181347150259067,0.4816860312244173
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,7,0.1,0.5043478260869565,0.50721925919345
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,8,0.0916666666666666,0.4939130434782608,0.4620924654348687
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,9,0.025,0.5060869565217392,0.4662843296160949
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,10,0.1333333333333333,0.5008695652173913,0.4516682993178254
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,11,0.0916666666666666,0.4904347826086956,0.4812262472813686
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,12,0.1166666666666666,0.4922010398613518,0.4644913910902123
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,13,0.0333333333333333,0.4767641996557659,0.476497755574475
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,14,0.0583333333333333,0.5482758620689655,0.4835086184328763
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,15,0.0416666666666666,0.5104529616724739,0.4589350578098765
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,16,0.1333333333333333,0.5174216027874564,0.4624598519223382
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,17,0.0166666666666666,0.4816753926701571,0.4726856513431679
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,18,0.0083333333333333,0.493127147766323,0.4773713740743522
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,19,0.0583333333333333,0.4973821989528796,0.4667061714580651
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,20,0.0583333333333333,0.5130434782608696,0.4744710971868282
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,21,0.0333333333333333,0.5077452667814114,0.4650573775366556
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,22,0.15,0.4921465968586387,0.4684992125124324
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,23,0.1333333333333333,0.5199306759098787,0.4534915781700687
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,24,0.0833333333333333,0.5,0.4725507075904547
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,25,0.1083333333333333,0.5111876075731497,0.4758857589472976
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,26,0.0666666666666666,0.5445026178010471,0.4569428191207046
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,27,0.0666666666666666,0.4974093264248704,0.4826512108874169
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,28,0.0083333333333333,0.5260416666666666,0.4789778446923101
method1,Method 1 (SNP Laplace DP),chr10_1Mb,1.0,29,0.125,0.513986013986014,0.4509918101655377
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,0,0.0416666666666666,0.5061728395061729,0.4122202135709839
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,1,0.0916666666666666,0.4850088183421516,0.4027526887133412
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,2,0.1,0.5061946902654867,0.4218274545223717
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,3,0.1666666666666666,0.5071428571428571,0.4068421139419359
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,4,0.025,0.4973262032085561,0.4150382680263914
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,5,0.1666666666666666,0.489399293286219,0.4118099982954516
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,6,0.1,0.5088028169014085,0.4320553650158672
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,7,0.0583333333333333,0.492063492063492,0.4487623633411244
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,8,0.05,0.4919786096256685,0.3970548202275334
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,9,0.0166666666666666,0.504424778761062,0.4210348141280594
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,10,0.125,0.4814159292035398,0.396971341934579
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,11,0.0916666666666666,0.4832451499118165,0.422686592060319
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,12,0.0916666666666666,0.4903339191564148,0.4132472758610302
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,13,0.0583333333333333,0.4615384615384615,0.4148584945063139
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,14,0.0666666666666666,0.5394045534150613,0.424483318998329
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,15,0.05,0.5044563279857398,0.398640562486087
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,16,0.1083333333333333,0.5070671378091873,0.4088819263717051
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,17,0.0166666666666666,0.469964664310954,0.402585109543484
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,18,0.0166666666666666,0.4885764499121265,0.4259725968342261
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,19,0.05,0.4778761061946903,0.4140463630940417
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,20,0.05,0.5132743362831859,0.4273356677631137
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,21,0.1416666666666666,0.4869565217391304,0.4109106743242392
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,22,0.1416666666666666,0.4928825622775801,0.4191315885109752
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,23,0.0666666666666666,0.5203539823008849,0.4054521708199534
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,24,0.05,0.4779541446208112,0.4109798706839739
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,25,0.1083333333333333,0.5124113475177305,0.4224243992130577
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,26,0.0583333333333333,0.5373665480427047,0.4050035914960355
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,27,0.0583333333333333,0.5026362038664324,0.4301552134078066
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,28,0.0416666666666666,0.5131810193321616,0.4313874924645848
method1,Method 1 (SNP Laplace DP),chr10_1Mb,3.0,29,0.1166666666666666,0.5053763440860215,0.3907730058221218
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,0,0.05,0.5065176908752328,0.2833997958761458
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,1,0.1166666666666666,0.4584103512014787,0.2755644769246204
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,2,0.0416666666666666,0.4908424908424908,0.2960365895980172
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,3,0.0916666666666666,0.493358633776091,0.2805565488752409
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,4,0.0333333333333333,0.4800759013282732,0.2854920841890729
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,5,0.1333333333333333,0.4857685009487666,0.2821288393458447
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,6,0.1166666666666666,0.4935543278084714,0.3095984795909001
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,7,0.0666666666666666,0.4943609022556391,0.3094713177080296
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,8,0.0333333333333333,0.4621212121212121,0.2697428710952355
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,9,0.0416666666666666,0.4990583804143126,0.283622869949764
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,10,0.1666666666666666,0.4953271028037383,0.2763749462219279
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,11,0.1083333333333333,0.4756554307116105,0.298732233321444
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,12,0.1583333333333333,0.4723247232472324,0.2998947774181307
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,13,0.0833333333333333,0.4523364485981308,0.2775292822726837
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,14,0.1666666666666666,0.5269016697588126,0.2951375063170483
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,15,0.0833333333333333,0.4712643678160919,0.2719997351225171
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,16,0.0083333333333333,0.4858757062146893,0.2765832427781095
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,17,0.1166666666666666,0.4452830188679245,0.2739889989889618
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,18,0.0583333333333333,0.4598540145985401,0.2894332668965289
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,19,0.0416666666666666,0.4847908745247148,0.2901076689999295
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,20,0.0916666666666666,0.5046728971962616,0.3059944148732578
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,21,0.0666666666666666,0.466789667896679,0.2778442596835028
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,22,0.1,0.4605263157894737,0.2795397324998312
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,23,0.0833333333333333,0.5066413662239089,0.2763028799350939
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,24,0.075,0.4803001876172608,0.274552425320022
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,25,0.0666666666666666,0.49625468164794,0.2895348474622096
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,26,0.0583333333333333,0.518450184501845,0.2868844491732606
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,27,0.0666666666666666,0.4622467771639042,0.3019959932290772
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,28,0.1,0.4878957169459962,0.3086576784885893
method1,Method 1 (SNP Laplace DP),chr10_1Mb,10.0,29,0.1166666666666666,0.5076923076923077,0.2662459014520129
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,0,0.05,0.5540540540540541,0.4787763788068376
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,1,0.0833333333333333,0.5151515151515151,0.4736534368682667
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,2,0.1083333333333333,0.5589225589225589,0.5038359554053641
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,3,0.025,0.5574324324324325,0.4646434724923908
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,4,0.025,0.5559322033898305,0.4916432386162985
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,5,0.075,0.5218855218855218,0.5094383864866429
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,6,0.1083333333333333,0.5353535353535354,0.4971755291102839
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,7,0.0333333333333333,0.5618729096989966,0.5223679259260814
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,8,0.0666666666666666,0.540268456375839,0.4814779440708969
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,9,0.0916666666666666,0.5777027027027027,0.5142826751187408
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,10,0.0166666666666666,0.559322033898305,0.5078033949048015
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,11,0.0666666666666666,0.5525423728813559,0.5224699067417856
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,12,0.0333333333333333,0.5254237288135594,0.5415638841849948
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,13,0.1166666666666666,0.5506756756756757,0.485198760111853
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,14,0.0666666666666666,0.5521885521885522,0.5161698423848281
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,15,0.025,0.4865771812080537,0.4824346963048409
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,16,0.025,0.5337837837837838,0.5119753452628586
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,17,0.1166666666666666,0.5612244897959183,0.491336929741109
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,18,0.0916666666666666,0.5714285714285714,0.4663348741580704
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,19,0.0583333333333333,0.5050505050505051,0.4904554859995751
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,20,0.025,0.576271186440678,0.483753559550781
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,21,0.1,0.5656565656565656,0.4876682493145926
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,22,0.0333333333333333,0.5540540540540541,0.4855495947755274
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,23,0.0833333333333333,0.5322033898305085,0.4537053040132741
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,24,0.0666666666666666,0.5714285714285714,0.4863610870060694
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,25,0.075,0.5604026845637584,0.5104245730436189
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,26,0.1,0.5371621621621622,0.4787241342388817
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,27,0.0166666666666666,0.5317725752508361,0.5383812510602644
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,28,0.0166666666666666,0.559322033898305,0.4732811854420278
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.03,29,0.1,0.5469798657718121,0.4964155654496471
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,0,0.0583333333333333,0.5472972972972973,0.4741734577783023
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,1,0.1,0.5151515151515151,0.4706094117518677
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,2,0.1416666666666666,0.5555555555555556,0.495219697432448
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,3,0.025,0.5559322033898305,0.4596863213962346
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,4,0.0166666666666666,0.559322033898305,0.487576492557263
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,5,0.05,0.5135135135135135,0.4999799130779125
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,6,0.1083333333333333,0.5353535353535354,0.4971755291102839
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,7,0.0333333333333333,0.5585284280936454,0.5168507714025724
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,8,0.0583333333333333,0.5369127516778524,0.4775557620864366
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,9,0.075,0.5777027027027027,0.5105487878694543
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,10,0.0166666666666666,0.559322033898305,0.5034075809103978
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,11,0.0666666666666666,0.5423728813559322,0.5184305641229201
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,12,0.0333333333333333,0.5220338983050847,0.5390213533015755
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,13,0.1166666666666666,0.5540540540540541,0.4790110095551234
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,14,0.0666666666666666,0.5488215488215489,0.5109892872294454
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,15,0.025,0.4848484848484848,0.4791750071416726
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,16,0.025,0.5304054054054054,0.5061664562026608
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,17,0.125,0.5578231292517006,0.4871331573771162
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,18,0.1083333333333333,0.5714285714285714,0.4636899526761561
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,19,0.05,0.5,0.4799301145072911
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,20,0.025,0.5728813559322034,0.480423742449903
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,21,0.1,0.5622895622895623,0.4830736708583918
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,22,0.0333333333333333,0.5540540540540541,0.483549599977674
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,23,0.1,0.5254237288135594,0.4507086667566915
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,24,0.0666666666666666,0.564625850340136,0.4792626338193621
method1,Method 1 (SNP Laplace DP),chr2_5Mb,0.1,25,0.0833333333333333,0.5570469798657718,0.5054635715597449
