seed,eps,region,n_snps,n_train,n_test,n_ctrl,n_min,delta1,scale,lr_threshold_test_95pct,lr_power,lr_member_mean,lr_nonmember_mean,true_sig,noisy_sig,tp,precision,recall,jaccard,maf_mse,maf_mae,clip_frac,shrink_alpha
4,0.3,chr10_1Mb,581,123,53,120,53,10.962264150943396,36.540880503144656,-1460.6902064945566,0.024390243902439025,-4319.095443027197,-4086.140136367427,92,416,68,0.16346153846153846,0.7391304347826086,0.15454545454545454,0.3772875554757982,0.47130421747254625,0.9793459552495697,1.0
5,0.3,chr10_1Mb,581,123,53,120,52,11.173076923076923,37.243589743589745,-1542.1842260241829,0.04065040650406504,-4736.568161080223,-4492.3493433879385,94,432,71,0.16435185185185186,0.7553191489361702,0.15604395604395604,0.42283768922916126,0.5178633837725047,0.9810671256454389,1.0
6,0.3,chr10_1Mb,581,123,53,120,47,12.361702127659575,41.20567375886525,-1587.4292546788079,0.08130081300813008,-4525.1192572015425,-5081.87263900932,83,429,60,0.13986013986013987,0.7228915662650602,0.13274336283185842,0.42323362149193877,0.5162824761218752,0.9931153184165232,1.0
7,0.3,chr10_1Mb,581,123,53,120,48,12.104166666666666,40.34722222222222,-1448.2559392992155,0.07317073170731707,-4504.034163766376,-4610.641512968561,71,436,56,0.12844036697247707,0.7887323943661971,0.12416851441241686,0.4118103943593299,0.5051020064128225,0.9896729776247849,1.0
8,0.3,chr10_1Mb,581,123,53,120,47,12.361702127659575,41.20567375886525,-1629.5739590845744,0.024390243902439025,-4348.330783756425,-4331.097745322592,100,415,74,0.1783132530120482,0.74,0.16780045351473924,0.38401296224304793,0.47897062430565407,0.9862306368330465,1.0
9,0.3,chr10_1Mb,581,123,53,120,50,11.62,38.733333333333334,-1508.41788024846,0.04878048780487805,-4387.766465536758,-4545.6770136914765,86,417,59,0.14148681055155876,0.686046511627907,0.13288288288288289,0.39857247530494394,0.4901195394764825,0.9896729776247849,1.0
0,1.0,chr10_1Mb,581,123,53,120,49,11.857142857142858,11.857142857142858,-1529.8151111403422,0.04065040650406504,-4350.195242184026,-4411.136942323683,89,424,67,0.1580188679245283,0.7528089887640449,0.15022421524663676,0.39636636472993086,0.49295767097626125,0.955249569707401,1.0
1,1.0,chr10_1Mb,581,123,53,120,48,12.104166666666666,12.104166666666666,-1490.7649821686239,0.008130081300813009,-4183.2673593579075,-4297.40655747462,88,407,63,0.1547911547911548,0.7159090909090909,0.14583333333333334,0.37898847842258915,0.47341253993140126,0.9621342512908778,1.0
2,1.0,chr10_1Mb,581,123,53,120,48,12.104166666666666,12.104166666666666,-1551.454302836335,0.04065040650406504,-4367.215061836375,-4806.357816475422,77,429,60,0.13986013986013987,0.7792207792207793,0.13452914798206278,0.41441503738767427,0.5100479275612585,0.963855421686747,1.0
3,1.0,chr10_1Mb,581,123,53,120,43,13.511627906976743,13.511627906976743,-1377.8081341438433,0.0,-4026.4107880790084,-4920.257987905893,83,420,59,0.14047619047619048,0.7108433734939759,0.13288288288288289,0.39020593425555083,0.485065970078499,0.955249569707401,1.0
4,1.0,chr10_1Mb,581,123,53,120,53,10.962264150943396,10.962264150943396,-1306.6046579264473,0.024390243902439025,-4042.0815116803965,-3822.7081669025965,92,413,68,0.16464891041162227,0.7391304347826086,0.15560640732265446,0.359648853670555,0.45689007132719395,0.9432013769363167,1.0
5,1.0,chr10_1Mb,581,123,53,120,52,11.173076923076923,11.173076923076923,-1403.9225089564325,0.032520325203252036,-4427.614963311043,-4197.94722774907,94,429,71,0.1655011655011655,0.7553191489361702,0.1570796460176991,0.40109363803909087,0.49919647190135136,0.9397590361445783,1.0
6,1.0,chr10_1Mb,581,123,53,120,47,12.361702127659575,12.361702127659575,-1555.716499057783,0.08130081300813008,-4395.561063347153,-4933.6802310775165,83,427,60,0.1405152224824356,0.7228915662650602,0.13333333333333333,0.4140440810592025,0.5091378182444726,0.9724612736660929,1.0
7,1.0,chr10_1Mb,581,123,53,120,48,12.104166666666666,12.104166666666666,-1410.8956945659918,0.07317073170731707,-4251.439805019605,-4351.825419467505,71,432,56,0.12962962962962962,0.7887323943661971,0.12527964205816555,0.39421518149631624,0.49162687713006425,0.9535283993115319,1.0
8,1.0,chr10_1Mb,581,123,53,120,47,12.361702127659575,12.361702127659575,-1581.651635340004,0.024390243902439025,-4119.6003488887345,-4105.385256688493,100,409,74,0.18092909535452323,0.74,0.17011494252873563,0.3671300384083163,0.4633378681786907,0.9449225473321858,1.0
9,1.0,chr10_1Mb,581,123,53,120,50,11.62,11.62,-1484.7269327545575,0.04878048780487805,-4207.146508571672,-4362.088046170544,86,413,58,0.14043583535108958,0.6744186046511628,0.13151927437641722,0.38681896700153523,0.48009675684653197,0.9604130808950087,1.0
0,3.0,chr10_1Mb,581,123,53,120,49,11.857142857142858,3.9523809523809526,-1373.1303678444297,0.04065040650406504,-3748.9886445161032,-3800.7955043555567,89,416,67,0.16105769230769232,0.7528089887640449,0.15296803652968036,0.3552092736634127,0.4579177534088649,0.8709122203098106,1.0
1,3.0,chr10_1Mb,581,123,53,120,48,12.104166666666666,4.034722222222222,-1284.0205726599518,0.008130081300813009,-3609.500557752873,-3711.509927807394,88,402,60,0.14925373134328357,0.6818181818181818,0.13953488372093023,0.33920742194726067,0.44021703765426684,0.8795180722891566,1.0
2,3.0,chr10_1Mb,581,123,53,120,48,12.104166666666666,4.034722222222222,-1376.8663926924148,0.032520325203252036,-3833.8112785439444,-4224.772109376474,77,421,60,0.14251781472684086,0.7792207792207793,0.136986301369863,0.37476623792595737,0.47590441299419045,0.8881239242685026,1.0
3,3.0,chr10_1Mb,581,123,53,120,43,13.511627906976743,4.503875968992248,-1246.0892751407898,0.008130081300813009,-3565.1741057595405,-4355.346998108996,83,409,59,0.14425427872860636,0.7108433734939759,0.13625866050808313,0.35867976844837207,0.45758102528307393,0.8846815834767642,1.0
4,3.0,chr10_1Mb,581,123,53,120,53,10.962264150943396,3.6540880503144653,-1135.5389365206788,0.008130081300813009,-3546.895581767683,-3357.3635586664104,92,401,66,0.16458852867830423,0.717391304347826,0.15456674473067916,0.3246790402042679,0.4262640610279611,0.8760757314974182,1.0
5,3.0,chr10_1Mb,581,123,53,120,52,11.173076923076923,3.7243589743589745,-1293.840433080832,0.032520325203252036,-3833.740389645545,-3645.530923582711,94,419,71,0.16945107398568018,0.7553191489361702,0.16063348416289594,0.35649063347273074,0.4593972182549279,0.8571428571428571,1.0
6,3.0,chr10_1Mb,581,123,53,120,47,12.361702127659575,4.120567375886525,-1375.5213150012294,0.0975609756097561,-3768.044315876004,-4225.342322723988,83,424,60,0.14150943396226415,0.7228915662650602,0.1342281879194631,0.3691082489803844,0.4740593137275978,0.8864027538726333,1.0
7,3.0,chr10_1Mb,581,123,53,120,48,12.104166666666666,4.034722222222222,-1232.3657174783823,0.08130081300813008,-3647.2870702555247,-3729.7171698555335,71,422,56,0.13270142180094788,0.7887323943661971,0.12814645308924486,0.3497665392656034,0.45514063114823705,0.8709122203098106,1.0
8,3.0,chr10_1Mb,581,123,53,120,47,12.361702127659575,4.120567375886525,-1410.722843669376,0.024390243902439025,-3559.9899859480856,-3547.2576737632226,100,395,73,0.1848101265822785,0.73,0.17298578199052134,0.3292719416107947,0.42883391072509514,0.8640275387263339,1.0
9,3.0,chr10_1Mb,581,123,53,120,50,11.62,3.873333333333333,-1324.8074688871382,0.04878048780487805,-3738.146102171317,-3873.760407001879,86,399,58,0.14536340852130325,0.6744186046511628,0.1358313817330211,0.35231089157948675,0.44955194740970306,0.8864027538726333,1.0
0,10.0,chr10_1Mb,581,123,53,120,49,11.857142857142858,1.1857142857142857,-990.3286073688637,0.016260162601626018,-2401.701060773736,-2428.8304181860594,89,381,64,0.1679790026246719,0.7191011235955056,0.15763546798029557,0.24271305541802465,0.3563754197840023,0.6764199655765921,1.0
1,10.0,chr10_1Mb,581,123,53,120,48,12.104166666666666,1.2104166666666667,-926.8899448262497,0.0,-2442.0203597886184,-2511.2342954207534,88,375,61,0.16266666666666665,0.6931818181818182,0.1517412935323383,0.24800866000880617,0.3562970517558144,0.7091222030981067,1.0
2,10.0,chr10_1Mb,581,123,53,120,48,12.104166666666666,1.2104166666666667,-941.8520195598433,0.11382113821138211,-2513.6484729736662,-2780.3342590783845,77,387,59,0.1524547803617571,0.7662337662337663,0.145679012345679,0.27704108212684886,0.387673030829628,0.6919104991394148,1.0
3,10.0,chr10_1Mb,581,123,53,120,43,13.511627906976743,1.3511627906976744,-805.212151654161,0.0,-2401.4686563330556,-2938.4679523766717,83,384,56,0.14583333333333334,0.6746987951807228,0.1362530413625304,0.26419543200093115,0.376189866425592,0.7160068846815835,1.0
4,10.0,chr10_1Mb,581,123,53,120,53,10.962264150943396,1.0962264150943395,-666.7656213683522,0.008130081300813009,-2073.9965665929376,-1966.7558060626136,92,376,64,0.1702127659574468,0.6956521739130435,0.15841584158415842,0.22051464100856966,0.3336840366392294,0.6626506024096386,1.0
5,10.0,chr10_1Mb,581,123,53,120,52,11.173076923076923,1.1173076923076923,-868.7272108559696,0.04878048780487805,-2488.830220742633,-2381.3905943209743,94,380,69,0.18157894736842106,0.7340425531914894,0.17037037037037037,0.25575693482098166,0.3669764845526393,0.6643717728055077,1.0
6,10.0,chr10_1Mb,581,123,53,120,47,12.361702127659575,1.2361702127659575,-1040.0359979573536,0.04878048780487805,-2616.729697341994,-2928.8601595576683,83,400,59,0.1475,0.7108433734939759,0.1391509433962264,0.27141958273400335,0.38604554579537237,0.7142857142857143,1.0
7,10.0,chr10_1Mb,581,123,53,120,48,12.104166666666666,1.2104166666666667,-848.5693619628306,0.056910569105691054,-2355.1032731542596,-2398.6250679635427,71,387,51,0.13178294573643412,0.7183098591549296,0.12530712530712532,0.24398401187422908,0.35986317839259513,0.6815834767641996,1.0
8,10.0,chr10_1Mb,581,123,53,120,47,12.361702127659575,1.2361702127659575,-775.0498795107052,0.04065040650406504,-2099.1095495422196,-2098.6802017057453,100,361,69,0.19113573407202217,0.69,0.1760204081632653,0.2225922423048459,0.33157712716289944,0.6660929432013769,1.0
9,10.0,chr10_1Mb,581,123,53,120,50,11.62,1.162,-929.0862361337262,0.04065040650406504,-2345.491106941812,-2427.4159408338433,86,369,53,0.14363143631436315,0.6162790697674418,0.1318407960199005,0.25344454519013443,0.36294533287225017,0.6746987951807228,1.0
0,0.03,chr2_5Mb,297,123,53,120,47,6.319148936170213,210.63829787234042,-1658.510952586109,0.10569105691056911,-2572.3214621588418,-2647.8002617579004,133,242,115,0.47520661157024796,0.8646616541353384,0.4423076923076923,0.36672408461506756,0.49424428847924556,0.9932659932659933,1.0
1,0.03,chr2_5Mb,297,123,53,120,50,5.94,198.00000000000003,-1702.2014518221943,0.10569105691056911,-2658.836965765942,-2746.064849332531,123,245,107,0.43673469387755104,0.8699186991869918,0.4099616858237548,0.3805700452687395,0.5076240565442168,0.9966329966329966,1.0
2,0.03,chr2_5Mb,297,123,53,120,46,6.456521739130435,215.2173913043478,-1731.4109632143939,0.08130081300813008,-2653.926430796035,-2870.7736398219863,130,245,116,0.47346938775510206,0.8923076923076924,0.44787644787644787,0.38250298144007583,0.5097992080116772,1.0,1.0
3,0.03,chr2_5Mb,297,123,53,120,45,6.6,220.0,-1741.462086474677,0.10569105691056911,-2564.3768107701026,-2860.797976899692,125,241,112,0.46473029045643155,0.896,0.4409448818897638,0.36957920941881645,0.4986415170326236,0.9966329966329966,1.0
4,0.03,chr2_5Mb,297,123,53,120,52,5.711538461538462,190.3846153846154,-1604.5210622200932,0.032520325203252036,-2714.8181379192865,-2645.1874397723604,124,252,109,0.43253968253968256,0.8790322580645161,0.40823970037453183,0.3926919339603333,0.5208990542829921,0.9831649831649831,1.0
5,0.03,chr2_5Mb,297,123,53,120,51,5.823529411764706,194.11764705882354,-1682.9134027243742,0.04065040650406504,-2714.9536846815276,-2650.636759756515,122,243,112,0.4609053497942387,0.9180327868852459,0.4426877470355731,0.3812349290915216,0.5086140407537012,0.98989898989899,1.0
6,0.03,chr2_5Mb,297,123,53,120,48,6.1875,206.25,-1581.1381544959206,0.04065040650406504,-2534.5706884224633,-2757.2853944268895,128,247,115,0.46558704453441296,0.8984375,0.4423076923076923,0.36628033029578344,0.49380018414344135,1.0,1.0
7,0.03,chr2_5Mb,297,123,53,120,46,6.456521739130435,215.2173913043478,-1537.0967444217247,0.04878048780487805,-2507.84426462767,-2508.0708984754674,125,239,108,0.45188284518828453,0.864,0.421875,0.352828647743719,0.48132669955206975,1.0,1.0
8,0.03,chr2_5Mb,297,123,53,120,48,6.1875,206.25,-1484.0980535483866,0.008130081300813009,-2619.453579032211,-2585.317344853856,127,241,112,0.46473029045643155,0.8818897637795275,0.4375,0.37903524485300516,0.5060809163801029,1.0,1.0
9,0.03,chr2_5Mb,297,123,53,120,50,5.94,198.00000000000003,-1618.272371669781,0.04878048780487805,-2551.1800457851887,-2621.248573100769,129,236,113,0.4788135593220339,0.875968992248062,0.44841269841269843,0.35652287764167,0.4842349090649791,1.0,1.0
0,0.1,chr2_5Mb,297,123,53,120,47,6.319148936170213,63.191489361702125,-1633.626145375533,0.10569105691056911,-2533.269687860184,-2607.270702786702,133,242,115,0.47520661157024796,0.8646616541353384,0.4423076923076923,0.3629531986756663,0.49137285887511417,0.9831649831649831,1.0
1,0.1,chr2_5Mb,297,123,53,120,50,5.94,59.4,-1677.2498340761088,0.10569105691056911,-2635.9815124071615,-2721.9067392384927,123,244,107,0.4385245901639344,0.8699186991869918,0.4115384615384615,0.37899936157893804,0.5064093709346523,0.9932659932659933,1.0
2,0.1,chr2_5Mb,297,123,53,120,46,6.456521739130435,64.56521739130434,-1731.4109632143939,0.08130081300813008,-2653.926430796035,-2870.7736398219863,130,245,116,0.47346938775510206,0.8923076923076924,0.44787644787644787,0.38250298144007583,0.5097992080116772,1.0,1.0
3,0.1,chr2_5Mb,297,123,53,120,45,6.6,65.99999999999999,-1703.0962244441498,0.10569105691056911,-2526.69089891327,-2823.027554183055,125,241,112,0.46473029045643155,0.896,0.4409448818897638,0.36654214636762217,0.49591502378473,0.98989898989899,1.0
4,0.1,chr2_5Mb,297,123,53,120,52,5.711538461538462,57.11538461538461,-1584.495414503563,0.016260162601626018,-2688.221965656831,-2620.2477517040934,124,251,110,0.43824701195219123,0.8870967741935484,0.41509433962264153,0.3877678700561729,0.515407724654118,0.9764309764309764,1.0
5,0.1,chr2_5Mb,297,123,53,120,51,5.823529411764706,58.23529411764705,-1644.5259507262492,0.04065040650406504,-2665.94571922023,-2602.0280808548496,122,242,111,0.45867768595041325,0.9098360655737705,0.43873517786561267,0.3736128052308784,0.5021410861535781,0.9797979797979798,1.0
6,0.1,chr2_5Mb,297,123,53,120,48,6.1875,61.875,-1581.1381544959206,0.04065040650406504,-2524.0837635118414,-2744.738768690501,128,247,115,0.46558704453441296,0.8984375,0.4423076923076923,0.3645950804108037,0.49250144957049097,0.9966329966329966,1.0
7,0.1,chr2_5Mb,297,123,53,120,46,6.456521739130435,64.56521739130434,-1537.0967444217247,0.04878048780487805,-2497.2083711098753,-2496.9400140792404,125,239,108,0.45188284518828453,0.864,0.421875,0.35110268105609765,0.479920711644121,0.9966329966329966,1.0
8,0.1,chr2_5Mb,297,123,53,120,48,6.1875,61.875,-1472.3309710416313,0.008130081300813009,-2609.834090111857,-2576.9552601694677,127,241,112,0.46473029045643155,0.8818897637795275,0.4375,0.3786711274841705,0.5055689320638153,0.9966329966329966,1.0
9,0.1,chr2_5Mb,297,123,53,120,50,5.94,59.4,-1587.7589008651091,0.04878048780487805,-2518.826149486421,-2589.1149739314283,129,233,112,0.48068669527896996,0.8682170542635659,0.448,0.3539810978525169,0.48171563317087857,0.9831649831649831,1.0
0,0.3,chr2_5Mb,297,123,53,120,47,6.319148936170213,21.06382978723404,-1575.7677194618668,0.0975609756097561,-2446.2224318713725,-2520.2829441913736,133,241,115,0.47717842323651455,0.8646616541353384,0.444015444015444,0.3506804632270029,0.4814488318423287,0.9663299663299664,1.0
1,0.3,chr2_5Mb,297,123,53,120,50,5.94,19.8,-1618.1357259540237,0.0975609756097561,-2542.049553045685,-2624.1311879883865,123,243,106,0.43621399176954734,0.8617886178861789,0.4076923076923077,0.3668902767223481,0.4963043222701396,0.9696969696969697,1.0
2,0.3,chr2_5Mb,297,123,53,120,46,6.456521739130435,21.52173913043478,-1717.7724899618538,0.10569105691056911,-2591.431372675234,-2802.550369525741,130,244,115,0.4713114754098361,0.8846153846153846,0.444015444015444,0.3772261793520663,0.5055719620494007,0.9797979797979798,1.0
3,0.3,chr2_5Mb,297,123,53,120,45,6.6,22.0,-1699.6395837388798,0.11382113821138211,-2501.8232116063937,-2791.4215295827366,125,239,111,0.46443514644351463,0.888,0.43873517786561267,0.3610037461709267,0.4903031569602022,0.9831649831649831,1.0
4,0.3,chr2_5Mb,297,123,53,120,52,5.711538461538462,19.03846153846154,-1536.7864887218159,0.008130081300813009,-2616.2776204294305,-2549.1913747583976,124,249,110,0.44176706827309237,0.8870967741935484,0.41825095057034223,0.37865713093650627,0.5068380868640733,0.9562289562289562,1.0
5,0.3,chr2_5Mb,297,123,53,120,51,5.823529411764706,19.41176470588235,-1553.6907630758424,0.04065040650406504,-2551.293286866155,-2486.101274357651,122,242,111,0.45867768595041325,0.9098360655737705,0.43873517786561267,0.3654756463155258,0.49242726084751925,0.9461279461279462,1.0
6,0.3,chr2_5Mb,297,123,53,120,48,6.1875,20.625,-1569.1663577537222,0.04065040650406504,-2511.509923766546,-2731.5891182979603,128,246,114,0.4634146341463415,0.890625,0.43846153846153846,0.36338245497651855,0.4908145013404758,0.9932659932659933,1.0
7,0.3,chr2_5Mb,297,123,53,120,46,6.456521739130435,21.52173913043478,-1497.308896922498,0.032520325203252036,-2458.1295614234396,-2458.5732099042366,125,237,108,0.45569620253164556,0.864,0.4251968503937008,0.34875506963547537,0.4773830750604237,0.9865319865319865,1.0
8,0.3,chr2_5Mb,297,123,53,120,48,6.1875,20.625,-1433.909314597276,0.008130081300813009,-2527.2254280413754,-2494.068621222707,127,239,111,0.46443514644351463,0.8740157480314961,0.43529411764705883,0.3695672658471552,0.4984688178323263,0.9730639730639731,1.0
9,0.3,chr2_5Mb,297,123,53,120,50,5.94,19.8,-1534.6434898291739,0.04065040650406504,-2446.614015153365,-2516.5197185827296,129,233,113,0.48497854077253216,0.875968992248062,0.4538152610441767,0.3471116598800054,0.4753369893152341,0.9663299663299664,1.0
0,1.0,chr2_5Mb,297,123,53,120,47,6.319148936170213,6.319148936170213,-1495.9008432648625,0.13821138211382114,-2278.598365117758,-2356.232499380975,133,233,109,0.4678111587982833,0.8195488721804511,0.42412451361867703,0.32853137498726925,0.4598131995364658,0.9158249158249159,1.0
1,1.0,chr2_5Mb,297,123,53,120,50,5.94,5.94,-1589.9964088578831,0.12195121951219512,-2440.0552239047993,-2516.12032419686,123,242,106,0.4380165289256198,0.8617886178861789,0.4092664092664093,0.349992392256013,0.4804792045433122,0.9427609427609428,1.0
2,1.0,chr2_5Mb,297,123,53,120,46,6.456521739130435,6.456521739130435,-1564.9456964463598,0.10569105691056911,-2401.032887943826,-2605.526088208005,130,240,113,0.4708333333333333,0.8692307692307693,0.4396887159533074,0.35724158624561053,0.4869810155749091,0.9326599326599326,1.0
3,1.0,chr2_5Mb,297,123,53,120,45,6.6,6.6,-1559.0264513477496,0.11382113821138211,-2296.28640270145,-2560.91609850541,125,237,111,0.46835443037974683,0.888,0.44223107569721115,0.34266697557194903,0.4727075427944734,0.9124579124579124,1.0
4,1.0,chr2_5Mb,297,123,53,120,52,5.711538461538462,5.711538461538462,-1383.9149527897762,0.0,-2404.0800468572156,-2339.614130928807,124,242,105,0.43388429752066116,0.8467741935483871,0.40229885057471265,0.3543688093655569,0.4842024650800303,0.9023569023569024,1.0
5,1.0,chr2_5Mb,297,123,53,120,51,5.823529411764706,5.823529411764706,-1412.351818118682,0.04065040650406504,-2316.5285254350465,-2253.3796901051387,122,233,107,0.4592274678111588,0.8770491803278688,0.4314516129032258,0.33691958403321187,0.4647177136889722,0.8855218855218855,1.0
6,1.0,chr2_5Mb,297,123,53,120,48,6.1875,6.1875,-1424.4496509030203,0.04065040650406504,-2296.2249175029942,-2500.1693695052854,128,244,112,0.45901639344262296,0.875,0.4307692307692308,0.3431367150812844,0.4755359186804497,0.9393939393939394,1.0
7,1.0,chr2_5Mb,297,123,53,120,46,6.456521739130435,6.456521739130435,-1370.1554900137053,0.032520325203252036,-2289.729754868492,-2290.5954549241687,125,235,107,0.4553191489361702,0.856,0.42292490118577075,0.33248975043063594,0.46341956068048823,0.9461279461279462,1.0
8,1.0,chr2_5Mb,297,123,53,120,48,6.1875,6.1875,-1381.395156092569,0.008130081300813009,-2286.1409568592335,-2257.535557433325,127,234,107,0.45726495726495725,0.84251968503937,0.421259842519685,0.33441660081012364,0.46699909125865857,0.8956228956228957,1.0
