seed,eps,region,case_pop,n_snps,n_train,n_test,n_ctrl,report_k,zero_reports,lr_threshold_test_95pct,lr_power,lr_member_mean,lr_nonmember_mean,true_sig,noisy_sig,tp,precision,recall,jaccard,maf_mae,rmse_maf,corr_maf
24,0.1,chr10_1Mb,MKK,588,120,51,165,1,480,-605.5976880183473,0.10833333333333334,-692.1543756123731,-688.7199715630891,320,97,47,0.4845360824742268,0.146875,0.12702702702702703,0.19093468508364564,0.26420389777628867,0.6412406708582536
25,0.1,chr10_1Mb,MKK,588,120,51,165,1,478,-781.2183012873365,0.025,-924.7591713885527,-926.8423759636268,315,97,50,0.5154639175257731,0.15873015873015872,0.13812154696132597,0.1988611694219312,0.2822541696946113,0.6033560802814559
26,0.1,chr10_1Mb,MKK,588,120,51,165,1,474,-858.7801523530858,0.03333333333333333,-980.9599769111554,-985.0126670417911,337,97,55,0.5670103092783505,0.1632047477744807,0.14511873350923482,0.20506245564424708,0.29020067546756184,0.583529717066013
27,0.1,chr10_1Mb,MKK,588,120,51,165,1,479,-696.8603806364004,0.016666666666666666,-797.3293150712416,-793.8029291832005,308,94,53,0.5638297872340425,0.17207792207792208,0.1518624641833811,0.1915944279760992,0.2686623675893738,0.6345335200452288
28,0.1,chr10_1Mb,MKK,588,120,51,165,1,476,-711.8078390357991,0.08333333333333333,-794.3873298090901,-802.6808497468916,329,102,46,0.45098039215686275,0.1398176291793313,0.11948051948051948,0.19816524993445989,0.27540335674248684,0.6108992043740042
29,0.1,chr10_1Mb,MKK,588,120,51,165,1,479,-795.8265681893208,0.03333333333333333,-901.6019713827449,-907.302198887775,321,101,53,0.5247524752475248,0.16510903426791276,0.14363143631436315,0.19982434564611481,0.28109972795424876,0.6060822642900489
0,0.3,chr10_1Mb,MKK,588,120,51,165,1,479,-709.0225647539947,0.06666666666666667,-819.3447692189402,-824.614005269565,320,101,59,0.5841584158415841,0.184375,0.16298342541436464,0.19383920194782758,0.27018200000082093,0.6405500913465395
1,0.3,chr10_1Mb,MKK,588,120,51,165,1,480,-563.9798057163857,0.058333333333333334,-646.6010738800574,-658.3796059733069,309,99,52,0.5252525252525253,0.16828478964401294,0.14606741573033707,0.18938470204794247,0.2641326230454499,0.638109570875484
2,0.3,chr10_1Mb,MKK,588,120,51,165,1,483,-543.6089436805131,0.03333333333333333,-652.4571310433028,-661.4522050552588,329,94,49,0.5212765957446809,0.14893617021276595,0.13101604278074866,0.19208966855185874,0.265738926389787,0.6377646333203263
3,0.3,chr10_1Mb,MKK,588,120,51,165,1,478,-735.0625938996404,0.09166666666666666,-829.5949617393145,-825.0893937579448,317,92,46,0.5,0.14511041009463724,0.12672176308539945,0.19559865100523732,0.2772537072061789,0.6103948861138031
4,0.3,chr10_1Mb,MKK,588,120,51,165,1,478,-876.5200814752234,0.09166666666666666,-970.2161656383469,-954.5161879875658,302,101,45,0.44554455445544555,0.1490066225165563,0.12569832402234637,0.2006475581302202,0.2856168168589711,0.5964351906605897
5,0.3,chr10_1Mb,MKK,588,120,51,165,1,481,-713.3787975687848,0.15,-768.6140369732658,-776.4491888433257,307,96,44,0.4583333333333333,0.14332247557003258,0.12256267409470752,0.19097831036968785,0.2681529000903298,0.6409675639634276
6,0.3,chr10_1Mb,MKK,588,120,51,165,1,485,-663.6182578645287,0.058333333333333334,-760.0577113340776,-775.4789616583128,323,90,57,0.6333333333333333,0.17647058823529413,0.1601123595505618,0.19291696497597952,0.27553229417940256,0.6092723106190323
7,0.3,chr10_1Mb,MKK,588,120,51,165,1,480,-750.8358449098753,0.041666666666666664,-838.7560198180003,-842.0622900275248,310,101,51,0.504950495049505,0.16451612903225807,0.14166666666666666,0.1947164412273915,0.27769573592086366,0.6077530134539608
8,0.3,chr10_1Mb,MKK,588,120,51,165,1,484,-603.7561006590394,0.11666666666666667,-675.573934893618,-663.1350414358704,309,89,50,0.5617977528089888,0.16181229773462782,0.14367816091954022,0.1820262707599264,0.2553240432698593,0.6724789763157386
9,0.3,chr10_1Mb,MKK,588,120,51,165,1,477,-644.1621101203309,0.041666666666666664,-782.4066282120461,-780.6922296179287,317,102,52,0.5098039215686274,0.1640378548895899,0.14168937329700274,0.19759567159677083,0.2736496912147905,0.6173035592350327
10,0.3,chr10_1Mb,MKK,588,120,51,165,1,480,-684.7593869592449,0.15833333333333333,-750.9800670667495,-770.2144369847708,316,94,53,0.5638297872340425,0.16772151898734178,0.1484593837535014,0.18658371466761328,0.2612244075273205,0.6546640289354381
11,0.3,chr10_1Mb,MKK,588,120,51,165,1,482,-546.1697398995436,0.008333333333333333,-651.470128379978,-641.5499161472859,303,92,44,0.4782608695652174,0.14521452145214522,0.12535612535612536,0.18512429118845244,0.2573368374345824,0.6628962719408336
12,0.3,chr10_1Mb,MKK,588,120,51,165,1,478,-686.0524869158933,0.15833333333333333,-758.5333575840009,-770.4626818060892,316,98,65,0.6632653061224489,0.20569620253164558,0.18624641833810887,0.18454389823160602,0.26173200712936234,0.6616503835294979
13,0.3,chr10_1Mb,MKK,588,120,51,165,1,481,-803.9951103119251,0.03333333333333333,-925.501688431803,-921.8145619556147,303,89,39,0.43820224719101125,0.12871287128712872,0.11048158640226628,0.20054371680008454,0.2836514882573113,0.5973817873845595
14,0.3,chr10_1Mb,MKK,588,120,51,165,1,483,-542.5968416857188,0.03333333333333333,-647.543741753996,-652.222522295252,336,95,58,0.6105263157894737,0.17261904761904762,0.1554959785522788,0.18249429513601764,0.25453980869769954,0.6728895413613692
15,0.3,chr10_1Mb,MKK,588,120,51,165,1,475,-743.0744755864197,0.016666666666666666,-879.6631148815812,-882.9712730840419,313,103,50,0.4854368932038835,0.1597444089456869,0.1366120218579235,0.19828933064897017,0.27956850853933607,0.5993736296335804
16,0.3,chr10_1Mb,MKK,588,120,51,165,1,482,-707.6351258121442,0.05,-809.7906569283315,-820.3106794754059,315,93,47,0.5053763440860215,0.1492063492063492,0.13019390581717452,0.19242002132209476,0.2693343412252668,0.6383066572898429
17,0.3,chr10_1Mb,MKK,588,120,51,165,1,476,-833.2092374258773,0.058333333333333334,-942.0231773069256,-939.0678039847945,302,101,53,0.5247524752475248,0.17549668874172186,0.15142857142857144,0.20020032046086872,0.2830002086778739,0.6001623004772388
18,0.3,chr10_1Mb,MKK,588,120,51,165,1,476,-903.8048700013969,0.058333333333333334,-1003.6037214503002,-1004.3779736943258,313,103,62,0.6019417475728155,0.19808306709265175,0.1751412429378531,0.19942991872500887,0.290005326644928,0.5836844478734157
19,0.3,chr10_1Mb,MKK,588,120,51,165,1,478,-644.5788962164777,0.05,-768.5645617088489,-764.7204475499585,305,98,42,0.42857142857142855,0.1377049180327869,0.11634349030470914,0.18904406181445513,0.2663084837750986,0.6362071042356149
20,0.3,chr10_1Mb,MKK,588,120,51,165,1,479,-686.6675600286788,0.08333333333333333,-796.0122332827974,-783.042102727172,323,94,56,0.5957446808510638,0.17337461300309598,0.15512465373961218,0.19178152916221786,0.26885651921916515,0.6362775521258918
21,0.3,chr10_1Mb,MKK,588,120,51,165,1,481,-768.4314340582731,0.08333333333333333,-861.7935377498117,-874.3663981188884,317,95,51,0.5368421052631579,0.1608832807570978,0.14127423822714683,0.2026282168980869,0.2854088111758743,0.5860772214905492
22,0.3,chr10_1Mb,MKK,588,120,51,165,1,480,-619.3667827851053,0.0,-716.041146893482,-703.0157917559901,311,98,47,0.47959183673469385,0.15112540192926044,0.1298342541436464,0.18848461209951428,0.26301693965270817,0.6523714385470827
23,0.3,chr10_1Mb,MKK,588,120,51,165,1,479,-754.2128676825962,0.1,-832.8263602010207,-818.7787067524073,325,99,48,0.48484848484848486,0.1476923076923077,0.1276595744680851,0.19813563647855406,0.27820161307415486,0.6096802962384475
24,0.3,chr10_1Mb,MKK,588,120,51,165,1,481,-749.9564362417301,0.075,-855.974057437103,-851.6359339544866,320,99,54,0.5454545454545454,0.16875,0.14794520547945206,0.197474087553806,0.2811000839439416,0.5996897601617187
25,0.3,chr10_1Mb,MKK,588,120,51,165,1,473,-935.2328738553364,0.06666666666666667,-1053.2671740067756,-1052.0269430665344,315,102,56,0.5490196078431373,0.17777777777777778,0.15512465373961218,0.20353015012631812,0.29233459444858306,0.578725457203904
26,0.3,chr10_1Mb,MKK,588,120,51,165,1,477,-798.4101555406755,0.08333333333333333,-888.3696057232474,-885.5267040436031,337,97,53,0.5463917525773195,0.1572700296735905,0.13910761154855644,0.20151667552959346,0.2840312100035268,0.6019181080147618
27,0.3,chr10_1Mb,MKK,588,120,51,165,1,477,-790.5797939119418,0.06666666666666667,-889.088852066237,-884.6247205713086,308,97,51,0.5257731958762887,0.16558441558441558,0.1440677966101695,0.19522627416356308,0.2748833080491184,0.6209531105782526
28,0.3,chr10_1Mb,MKK,588,120,51,165,1,473,-716.8083558912367,0.08333333333333333,-833.1564891253958,-825.4825367249343,329,105,53,0.5047619047619047,0.16109422492401215,0.13910761154855644,0.19545817883507335,0.26954440155541654,0.6389321234282381
29,0.3,chr10_1Mb,MKK,588,120,51,165,1,477,-646.5235471153735,0.03333333333333333,-750.7796975879758,-743.9823413900937,321,102,55,0.5392156862745098,0.17133956386292834,0.14945652173913043,0.1938152502426769,0.26844440610563763,0.6348648369854843
0,1.0,chr10_1Mb,MKK,588,120,51,165,1,484,-430.33013845983027,0.05,-542.2168350328137,-550.6252596957597,320,91,56,0.6153846153846154,0.175,0.15774647887323945,0.18073053237209777,0.25131240367616386,0.6787716127639051
1,1.0,chr10_1Mb,MKK,588,120,51,165,1,480,-517.5620901257045,0.08333333333333333,-595.3066099484748,-604.3578506628631,309,95,43,0.45263157894736844,0.13915857605177995,0.11911357340720222,0.1831672603808868,0.2489955836104645,0.6878543184845722
2,1.0,chr10_1Mb,MKK,588,120,51,165,1,476,-499.6783461922101,0.041666666666666664,-606.8493802393134,-619.0661098570988,329,96,53,0.5520833333333334,0.16109422492401215,0.1424731182795699,0.1824883169777135,0.24984543516385554,0.6867863283207684
3,1.0,chr10_1Mb,MKK,588,120,51,165,1,479,-517.8993391967789,0.03333333333333333,-615.1462588964629,-620.2740940676427,317,99,60,0.6060606060606061,0.1892744479495268,0.16853932584269662,0.17804132928839905,0.2495024070116569,0.6836486792143106
4,1.0,chr10_1Mb,MKK,588,120,51,165,1,475,-742.0837200296771,0.058333333333333334,-820.5288541799005,-813.6720037723426,302,105,44,0.41904761904761906,0.1456953642384106,0.12121212121212122,0.19367124488618698,0.2706060098587958,0.635170979789657
5,1.0,chr10_1Mb,MKK,588,120,51,165,1,477,-642.0946183254557,0.008333333333333333,-760.2126202531829,-778.5680710662433,307,96,45,0.46875,0.1465798045602606,0.12569832402234637,0.18354973971045724,0.25700780223985425,0.6786651827787581
6,1.0,chr10_1Mb,MKK,588,120,51,165,1,479,-648.2906619990325,0.041666666666666664,-747.2193792819412,-761.3564932331277,323,101,59,0.5841584158415841,0.1826625386996904,0.16164383561643836,0.18752367009868412,0.26386194728173434,0.6555030247568963
7,1.0,chr10_1Mb,MKK,588,120,51,165,1,474,-577.1760413310233,0.09166666666666666,-656.1481893911026,-656.4382847905016,310,97,48,0.4948453608247423,0.15483870967741936,0.13370473537604458,0.18475710038243845,0.25476491909819327,0.6749246308761437
8,1.0,chr10_1Mb,MKK,588,120,51,165,1,480,-564.2249080832532,0.041666666666666664,-666.7106822663012,-645.1632133007689,309,98,47,0.47959183673469385,0.15210355987055016,0.13055555555555556,0.17968804784574977,0.2509301365973908,0.6859328953284044
9,1.0,chr10_1Mb,MKK,588,120,51,165,1,478,-674.6295276481467,0.041666666666666664,-806.2360916382485,-810.7957430331527,317,96,46,0.4791666666666667,0.14511041009463724,0.12534059945504086,0.19146576362375362,0.2696887522824198,0.6339855594982424
10,1.0,chr10_1Mb,MKK,588,120,51,165,1,480,-435.62347757863654,0.03333333333333333,-575.6976592789783,-564.5562758780327,316,88,49,0.5568181818181818,0.1550632911392405,0.13802816901408452,0.18014372316998617,0.2442633349284041,0.6972772152463567
11,1.0,chr10_1Mb,MKK,588,120,51,165,1,480,-490.4726340465471,0.10833333333333334,-568.0380393406306,-573.2532193228876,303,87,44,0.5057471264367817,0.14521452145214522,0.12716763005780346,0.17795584596569167,0.2434743607321656,0.7059664354483994
12,1.0,chr10_1Mb,MKK,588,120,51,165,1,479,-469.9444750011777,0.041666666666666664,-582.2948440522279,-597.7675213750188,316,88,48,0.5454545454545454,0.1518987341772152,0.1348314606741573,0.18121005966927262,0.25076267983360706,0.682622658807883
13,1.0,chr10_1Mb,MKK,588,120,51,165,1,479,-490.90051971361254,0.09166666666666666,-577.518921644289,-593.8805011160892,303,96,43,0.4479166666666667,0.1419141914191419,0.12078651685393259,0.17874620597120094,0.24352174404885735,0.7031483062489143
14,1.0,chr10_1Mb,MKK,588,120,51,165,1,477,-658.6801972986385,0.08333333333333333,-754.3828036595888,-759.1371535049107,336,101,70,0.693069306930693,0.20833333333333334,0.1907356948228883,0.17629968464352425,0.2558629302285882,0.6819739653936416
15,1.0,chr10_1Mb,MKK,588,120,51,165,1,483,-573.3432796428247,0.016666666666666666,-700.4023206163372,-700.4361706780172,313,93,49,0.5268817204301075,0.15654952076677317,0.13725490196078433,0.1864279793946498,0.26138270153053583,0.6493517258405407
16,1.0,chr10_1Mb,MKK,588,120,51,165,1,484,-490.6212679732141,0.10833333333333334,-554.4054854661052,-562.9789611080778,315,87,45,0.5172413793103449,0.14285714285714285,0.12605042016806722,0.17751448207086218,0.24385542094212112,0.6987664569360027
17,1.0,chr10_1Mb,MKK,588,120,51,165,1,479,-519.3541211974206,0.08333333333333333,-596.1175748505705,-592.3979936369859,302,94,49,0.5212765957446809,0.16225165562913907,0.14121037463976946,0.17853732363294697,0.24675876639469105,0.6936858599293618
18,1.0,chr10_1Mb,MKK,588,120,51,165,1,478,-751.7576930564928,0.058333333333333334,-838.5672843748079,-844.6594454512497,313,94,51,0.5425531914893617,0.16293929712460065,0.14325842696629212,0.19155962690637446,0.27163602020769034,0.6369057173289664
19,1.0,chr10_1Mb,MKK,588,120,51,165,1,477,-507.9864096679537,0.058333333333333334,-613.5527781800982,-604.9087633924119,305,96,41,0.4270833333333333,0.13442622950819672,0.11388888888888889,0.1781713699441853,0.24452737723813694,0.6978612402490167
