seed,eps,region,n_snps,n_train,n_test,n_ctrl,report_k,zero_reports,lr_threshold_test_95pct,lr_power,lr_member_mean,lr_nonmember_mean,true_sig,noisy_sig,tp,precision,recall,jaccard,maf_mae,rmse_maf,corr_maf
7,0.1,chr10_1Mb,581,123,53,120,1,512,-140.71067881510814,0.08130081300813008,-380.2810977453031,-389.52652789540633,71,49,7,0.14285714285714285,0.09859154929577464,0.061946902654867256,0.0907334992152494,0.2131649916101275,0.8572150855306234
8,0.1,chr10_1Mb,581,123,53,120,1,516,-155.79668390035866,0.024390243902439025,-393.3133610801827,-393.07205114321016,100,50,14,0.28,0.14,0.10294117647058823,0.10113468781129603,0.21684357519447964,0.8509384886350505
9,0.1,chr10_1Mb,581,123,53,120,1,508,-231.33249806138085,0.008130081300813009,-415.0918757451571,-422.81657699046485,86,55,12,0.21818181818181817,0.13953488372093023,0.09302325581395349,0.09332105033325439,0.20859781031320435,0.8641433218222986
0,0.3,chr10_1Mb,581,123,53,120,1,510,-183.66126192889297,0.07317073170731707,-403.7858408213887,-414.34936210106645,89,52,9,0.17307692307692307,0.10112359550561797,0.06818181818181818,0.09241420540538886,0.20979610207400906,0.8621473536354339
1,0.3,chr10_1Mb,581,123,53,120,1,517,-223.4741244309909,0.08130081300813008,-440.985588009285,-456.43436726163407,88,54,12,0.2222222222222222,0.13636363636363635,0.09230769230769231,0.09540889053525756,0.21846045083951532,0.8513869105140731
2,0.3,chr10_1Mb,581,123,53,120,1,508,-96.2621424111008,0.18699186991869918,-249.2624102624428,-278.1155986731138,77,49,8,0.16326530612244897,0.1038961038961039,0.06779661016949153,0.09043529226451824,0.1926322351648633,0.8823901976631771
3,0.3,chr10_1Mb,581,123,53,120,1,517,-144.30412117828652,0.14634146341463414,-299.66589684241853,-345.43471782339157,83,45,3,0.06666666666666667,0.03614457831325301,0.024,0.08617507012715508,0.19229275895864867,0.8832431411951608
4,0.3,chr10_1Mb,581,123,53,120,1,508,-241.75364321917053,0.04065040650406504,-447.4313019402456,-430.6559049311896,92,54,11,0.2037037037037037,0.11956521739130435,0.08148148148148149,0.101652837397105,0.2182911403696384,0.8515610094511381
5,0.3,chr10_1Mb,581,123,53,120,1,500,-267.4632080138553,0.0975609756097561,-459.6121655734721,-462.64887078491324,94,63,14,0.2222222222222222,0.14893617021276595,0.0979020979020979,0.10057576164901785,0.21640483009631925,0.8526433538983943
6,0.3,chr10_1Mb,581,123,53,120,1,517,-131.88539893676295,0.08943089430894309,-323.4665212183022,-357.0075040634563,83,47,10,0.2127659574468085,0.12048192771084337,0.08333333333333333,0.08584341990277478,0.19223541520942564,0.8843678089784365
7,0.3,chr10_1Mb,581,123,53,120,1,511,-231.29436104881535,0.07317073170731707,-432.16724966588345,-438.8655851762206,71,50,8,0.16,0.11267605633802817,0.07079646017699115,0.09280086800338191,0.21743441738145666,0.8508409568298427
8,0.3,chr10_1Mb,581,123,53,120,1,513,-144.6648781324969,0.024390243902439025,-387.551486410869,-390.9364462494709,100,46,12,0.2608695652173913,0.12,0.08955223880597014,0.09738965249360773,0.21117683890346212,0.8590625412835469
9,0.3,chr10_1Mb,581,123,53,120,1,503,-190.02359924547886,0.024390243902439025,-413.8760757514479,-424.7799143937812,86,60,12,0.2,0.13953488372093023,0.08955223880597014,0.09386522408981125,0.2045942221727096,0.8708450754909158
0,1.0,chr10_1Mb,581,123,53,120,1,510,-154.02578240048967,0.06504065040650407,-367.59779526896506,-381.0786874992205,89,45,7,0.15555555555555556,0.07865168539325842,0.05511811023622047,0.0863821910516779,0.20211350060851083,0.8723548159129721
1,1.0,chr10_1Mb,581,123,53,120,1,509,-146.10649015311174,0.032520325203252036,-299.3741088815514,-312.87051657703086,88,41,9,0.21951219512195122,0.10227272727272728,0.075,0.07874082584117141,0.18582819264525774,0.8925445036799099
2,1.0,chr10_1Mb,581,123,53,120,1,515,-103.40208696892773,0.22764227642276422,-179.19288033460822,-208.4561293877059,77,38,6,0.15789473684210525,0.07792207792207792,0.05504587155963303,0.07618405713675011,0.1546137643654439,0.9248989723266308
3,1.0,chr10_1Mb,581,123,53,120,1,518,-81.26434066246944,0.056910569105691054,-207.31380668960477,-235.6250387523907,83,44,10,0.22727272727272727,0.12048192771084337,0.08547008547008547,0.07628083955299242,0.16880412623763816,0.9104058597613677
4,1.0,chr10_1Mb,581,123,53,120,1,505,-183.1459634700759,0.032520325203252036,-402.2486021662929,-387.19763711890823,92,48,9,0.1875,0.09782608695652174,0.06870229007633588,0.0916494911164104,0.201119708804229,0.8740889268309856
5,1.0,chr10_1Mb,581,123,53,120,1,510,-178.97306577856972,0.13008130081300814,-266.41070907074794,-270.26592517629143,94,40,7,0.175,0.07446808510638298,0.05511811023622047,0.08160903216979858,0.1754242942155095,0.9020530764590706
6,1.0,chr10_1Mb,581,123,53,120,1,515,-108.84875665731015,0.08943089430894309,-269.34633825436737,-295.4269775536916,83,39,9,0.23076923076923078,0.10843373493975904,0.07964601769911504,0.08001057690258204,0.18098568750632466,0.8967800059345609
7,1.0,chr10_1Mb,581,123,53,120,1,514,-134.4147202445906,0.11382113821138211,-305.0063576354922,-311.8070741660966,71,48,8,0.16666666666666666,0.11267605633802817,0.07207207207207207,0.08303364452920839,0.1920175993997708,0.8839006022885981
8,1.0,chr10_1Mb,581,123,53,120,1,513,-148.69409353360177,0.032520325203252036,-343.54003883135283,-357.64685298763584,100,46,14,0.30434782608695654,0.14,0.10606060606060606,0.08853099217520469,0.18857301630857246,0.8884689731711126
9,1.0,chr10_1Mb,581,123,53,120,1,508,-190.8876774347315,0.04878048780487805,-363.3837385412269,-372.26132707427837,86,45,15,0.3333333333333333,0.1744186046511628,0.12931034482758622,0.08160839832704027,0.1862103018018676,0.893017080681347
0,3.0,chr10_1Mb,581,123,53,120,1,512,-20.107634375605176,0.056910569105691054,-165.61783545387888,-170.42465870179242,89,28,7,0.25,0.07865168539325842,0.06363636363636363,0.06236540667190284,0.13959895068525927,0.9396148683856229
1,3.0,chr10_1Mb,581,123,53,120,1,519,-46.68770201189632,0.008130081300813009,-104.87690885664598,-103.12778759610275,88,22,6,0.2727272727272727,0.06818181818181818,0.057692307692307696,0.05348552193279889,0.11118307284480348,0.9617025094928506
2,3.0,chr10_1Mb,581,123,53,120,1,517,-35.05604858687316,0.04065040650406504,-106.42355457103044,-115.71009039082324,77,26,3,0.11538461538461539,0.03896103896103896,0.03,0.06570858562963836,0.12940236602343663,0.9477406912039336
3,3.0,chr10_1Mb,581,123,53,120,1,520,-24.85826369438888,0.0975609756097561,-125.52704316280335,-140.54129959058315,83,25,3,0.12,0.03614457831325301,0.02857142857142857,0.06022723842219164,0.12974268705226297,0.9476096235262071
4,3.0,chr10_1Mb,581,123,53,120,1,504,-63.63209417786821,0.04065040650406504,-216.83497940178196,-198.85500875352673,92,37,9,0.24324324324324326,0.09782608695652174,0.075,0.07008677701192993,0.1472004134213096,0.9336519279332615
5,3.0,chr10_1Mb,581,123,53,120,1,503,-67.32793289888969,0.0975609756097561,-157.25190706519413,-159.28606647651856,94,36,10,0.2777777777777778,0.10638297872340426,0.08333333333333333,0.06669910795657424,0.1403366634100217,0.9383764966357062
6,3.0,chr10_1Mb,581,123,53,120,1,512,-52.18599791216404,0.0975609756097561,-115.94114349760295,-126.57507364786743,83,26,7,0.2692307692307692,0.08433734939759036,0.06862745098039216,0.059319677954626705,0.12329136931815923,0.9524754017628627
7,3.0,chr10_1Mb,581,123,53,120,1,516,-32.28169353457231,0.08943089430894309,-77.8622368340327,-75.91086769798846,71,24,6,0.25,0.08450704225352113,0.06741573033707865,0.05421261219613002,0.11416719441311851,0.9590055296324183
8,3.0,chr10_1Mb,581,123,53,120,1,510,-28.427359666168737,0.04878048780487805,-89.15880711952592,-85.32392111104582,100,28,8,0.2857142857142857,0.08,0.06666666666666667,0.06387208230945222,0.12333825382181808,0.9522479995941792
9,3.0,chr10_1Mb,581,123,53,120,1,512,-40.43558002595612,0.08130081300813008,-117.35608005336603,-123.65849881405842,86,27,6,0.2222222222222222,0.06976744186046512,0.056074766355140186,0.05841384801984317,0.11652221370371867,0.9578287342261662
0,10.0,chr10_1Mb,581,123,53,120,1,508,-98.27513662422061,0.1951219512195122,-141.4594176701029,-145.76358340808477,89,29,6,0.20689655172413793,0.06741573033707865,0.05357142857142857,0.057370754505800835,0.11978404204847048,0.9558214744531274
1,10.0,chr10_1Mb,581,123,53,120,1,519,-17.607055934943396,0.024390243902439025,-77.7299625450065,-84.97390145336519,88,20,4,0.2,0.045454545454545456,0.038461538461538464,0.05171257527412235,0.10529311362446894,0.9658477804168996
2,10.0,chr10_1Mb,581,123,53,120,1,510,-75.73355354165906,0.06504065040650407,-123.24616883376709,-129.98128361940917,77,26,3,0.11538461538461539,0.03896103896103896,0.03,0.06331133085736836,0.12288295495583278,0.9533283898141325
3,10.0,chr10_1Mb,581,123,53,120,1,518,-43.60055337082801,0.07317073170731707,-97.28218571226266,-114.0395521644277,83,26,6,0.23076923076923078,0.07228915662650602,0.05825242718446602,0.05437507497058786,0.11008323692392544,0.962632967144317
4,10.0,chr10_1Mb,581,123,53,120,1,507,-60.99036925454844,0.11382113821138211,-109.65480664065556,-108.4824050473201,92,26,7,0.2692307692307692,0.07608695652173914,0.06306306306306306,0.05864547677760115,0.10858191393654508,0.963476407813041
5,10.0,chr10_1Mb,581,123,53,120,1,511,-54.95292670705157,0.0975609756097561,-94.19867891537794,-97.01544770817603,94,28,8,0.2857142857142857,0.0851063829787234,0.07017543859649122,0.05766943528104165,0.11308107812004951,0.9600418665519659
6,10.0,chr10_1Mb,581,123,53,120,1,515,-26.656285249851635,0.056910569105691054,-62.05509953457848,-66.62239038933865,83,25,8,0.32,0.0963855421686747,0.08,0.05496889233741337,0.1051303283231984,0.9653332834943308
7,10.0,chr10_1Mb,581,123,53,120,1,510,-38.0813065189616,0.10569105691056911,-88.21742909422127,-88.41514098269336,71,20,3,0.15,0.04225352112676056,0.03409090909090909,0.05237411093480982,0.10709791991630237,0.9644165205817111
8,10.0,chr10_1Mb,581,123,53,120,1,512,-37.98921410819873,0.06504065040650407,-98.94588067242721,-107.52550350622982,100,28,9,0.32142857142857145,0.09,0.07563025210084033,0.06259366234761375,0.11854799294295677,0.9562217203699054
9,10.0,chr10_1Mb,581,123,53,120,1,510,-71.16024953903435,0.0975609756097561,-149.77380527706833,-149.06567847434303,86,29,9,0.3103448275862069,0.10465116279069768,0.08490566037735849,0.056863275101043734,0.11906216643101444,0.9562203202424349
0,0.03,chr2_5Mb,297,123,53,120,1,223,-230.55163290077846,0.12195121951219512,-388.9176202676643,-400.2773785308214,133,59,25,0.423728813559322,0.18796992481203006,0.1497005988023952,0.22245192539694028,0.32698437527031626,0.5809582584741311
1,0.03,chr2_5Mb,297,123,53,120,1,221,-271.64690189337284,0.10569105691056911,-443.1721892856758,-468.8052665214781,123,63,29,0.4603174603174603,0.23577235772357724,0.18471337579617833,0.22260642145367443,0.3267277229214626,0.5930037036764305
2,0.03,chr2_5Mb,297,123,53,120,1,228,-254.65953685611828,0.11382113821138211,-342.509686539536,-369.7880598476869,130,54,31,0.5740740740740741,0.23846153846153847,0.20261437908496732,0.1998057199837367,0.30018397462242113,0.6471513596694484
3,0.03,chr2_5Mb,297,123,53,120,1,229,-148.60302715785053,0.04065040650406504,-280.90226890215155,-300.6001663583036,125,48,23,0.4791666666666667,0.184,0.15333333333333332,0.19339987044200715,0.287739544995128,0.6736761402577146
4,0.03,chr2_5Mb,297,123,53,120,1,222,-325.09807813373664,0.07317073170731707,-515.5033556102703,-504.43592794874814,124,62,27,0.43548387096774194,0.21774193548387097,0.16981132075471697,0.22965658526111696,0.33806075950311504,0.5631202967013207
5,0.03,chr2_5Mb,297,123,53,120,1,221,-247.60109701271287,0.032520325203252036,-441.5926404401421,-453.9832929052801,122,62,27,0.43548387096774194,0.22131147540983606,0.17197452229299362,0.21748712783445814,0.3206613293161238,0.6001842461767646
6,0.03,chr2_5Mb,297,123,53,120,1,223,-361.75861842857825,0.14634146341463414,-496.14502207451324,-548.4444295583928,128,61,28,0.45901639344262296,0.21875,0.17391304347826086,0.22081738936429526,0.32706010314464834,0.6025837448634674
7,0.03,chr2_5Mb,297,123,53,120,1,218,-252.5724778739323,0.04878048780487805,-440.4030665212646,-426.33973243231605,125,64,32,0.5,0.256,0.20382165605095542,0.2117073568852052,0.3217822337018746,0.6080890299020828
8,0.03,chr2_5Mb,297,123,53,120,1,215,-225.4601923804021,0.04065040650406504,-430.44917417360136,-430.8622874393194,127,64,27,0.421875,0.2125984251968504,0.16463414634146342,0.2158815141020968,0.32062140961589974,0.6088376412664886
9,0.03,chr2_5Mb,297,123,53,120,1,221,-215.98490936591833,0.056910569105691054,-382.68989925394067,-385.0641582012789,129,59,33,0.559322033898305,0.2558139534883721,0.2129032258064516,0.2085165397011177,0.31646534461985265,0.6117438212283105
0,0.1,chr2_5Mb,297,123,53,120,1,224,-173.81402817066285,0.07317073170731707,-318.81661281903996,-327.7393068068699,133,55,28,0.509090909090909,0.21052631578947367,0.175,0.2068615249349115,0.30707353205883564,0.6339648933057519
1,0.1,chr2_5Mb,297,123,53,120,1,221,-271.64690189337284,0.10569105691056911,-443.1721892856758,-468.8052665214781,123,63,29,0.4603174603174603,0.23577235772357724,0.18471337579617833,0.22260642145367443,0.3267277229214626,0.5930037036764305
2,0.1,chr2_5Mb,297,123,53,120,1,228,-254.65953685611828,0.11382113821138211,-342.509686539536,-369.7880598476869,130,54,31,0.5740740740740741,0.23846153846153847,0.20261437908496732,0.1998057199837367,0.30018397462242113,0.6471513596694484
3,0.1,chr2_5Mb,297,123,53,120,1,226,-114.92800563654043,0.032520325203252036,-221.5229559133199,-232.84658363768264,125,51,24,0.47058823529411764,0.192,0.15789473684210525,0.18926784554659937,0.28043143286228334,0.6841260894503077
4,0.1,chr2_5Mb,297,123,53,120,1,219,-317.74732877278643,0.07317073170731707,-453.82085310369996,-446.79083177036074,124,56,24,0.42857142857142855,0.1935483870967742,0.15384615384615385,0.22055517088788676,0.3198779343166006,0.6114584354687971
5,0.1,chr2_5Mb,297,123,53,120,1,225,-224.8400562326012,0.016260162601626018,-436.18582195304856,-432.0419306536937,122,55,20,0.36363636363636365,0.16393442622950818,0.12738853503184713,0.21799654019854184,0.3227471323145207,0.6067760329485269
6,0.1,chr2_5Mb,297,123,53,120,1,219,-317.7991509073785,0.11382113821138211,-444.11695559471076,-485.0941273478472,128,61,24,0.39344262295081966,0.1875,0.14545454545454545,0.2264034604523786,0.3254294326460073,0.5998648859060768
7,0.1,chr2_5Mb,297,123,53,120,1,221,-217.64379868556534,0.056910569105691054,-367.4572138258693,-356.1383814139855,125,62,32,0.5161290322580645,0.256,0.2064516129032258,0.2003649020049861,0.30327717413812083,0.6481420247549824
8,0.1,chr2_5Mb,297,123,53,120,1,215,-225.4601923804021,0.04065040650406504,-430.44917417360136,-430.8622874393194,127,64,27,0.421875,0.2125984251968504,0.16463414634146342,0.2158815141020968,0.32062140961589974,0.6088376412664886
9,0.1,chr2_5Mb,297,123,53,120,1,221,-215.9849093659183,0.056910569105691054,-382.68989925394067,-385.0641582012789,129,59,33,0.559322033898305,0.2558139534883721,0.2129032258064516,0.2085165397011177,0.31646534461985265,0.6117438212283105
0,0.3,chr2_5Mb,297,123,53,120,1,217,-299.4492185937277,0.032520325203252036,-551.7329746037842,-586.103697989104,133,66,31,0.4696969696969697,0.23308270676691728,0.18452380952380953,0.24447509769700201,0.35759662209414417,0.5098981777653843
1,0.3,chr2_5Mb,297,123,53,120,1,223,-204.35502255723708,0.032520325203252036,-388.46485345279206,-399.269669890491,123,59,25,0.423728813559322,0.2032520325203252,0.1592356687898089,0.21170362338936263,0.3118345664310324,0.6304074635094393
2,0.3,chr2_5Mb,297,123,53,120,1,230,-265.9322747436443,0.10569105691056911,-344.35494455281776,-368.0396461393966,130,52,30,0.5769230769230769,0.23076923076923078,0.19736842105263158,0.194390296185043,0.29099278320981636,0.6740728762947092
3,0.3,chr2_5Mb,297,123,53,120,1,228,-148.77707280153686,0.04878048780487805,-307.66388578260904,-323.4370769235101,125,55,30,0.5454545454545454,0.24,0.2,0.1893763980420294,0.2825826179232054,0.6884344183191865
4,0.3,chr2_5Mb,297,123,53,120,1,214,-286.73855173285494,0.06504065040650407,-464.79520412953445,-447.32867665479483,124,61,28,0.45901639344262296,0.22580645161290322,0.17834394904458598,0.2186310387027479,0.32182993085893796,0.6050421000587201
5,0.3,chr2_5Mb,297,123,53,120,1,216,-261.88191294124573,0.032520325203252036,-468.48876301075137,-459.43213072011343,122,65,28,0.4307692307692308,0.22950819672131148,0.1761006289308176,0.22044160238593766,0.32408588633790386,0.6029150587432931
6,0.3,chr2_5Mb,297,123,53,120,1,230,-231.68596872396844,0.056910569105691054,-401.5838416914129,-433.45319660107646,128,54,24,0.4444444444444444,0.1875,0.1518987341772152,0.22086783875283686,0.3224930972924996,0.6045190987953428
7,0.3,chr2_5Mb,297,123,53,120,1,221,-162.43265993800776,0.11382113821138211,-329.868734927292,-341.32050822506505,125,59,33,0.559322033898305,0.264,0.2185430463576159,0.20459519169233456,0.31018608665760544,0.6247757339008622
8,0.3,chr2_5Mb,297,123,53,120,1,227,-130.78674592470452,0.056910569105691054,-260.2102195202138,-259.65153683759536,127,51,22,0.43137254901960786,0.1732283464566929,0.14102564102564102,0.1820953819209438,0.2740280579021651,0.7110091020185136
9,0.3,chr2_5Mb,297,123,53,120,1,217,-261.10047176821803,0.056910569105691054,-463.0818057089333,-468.096027370904,129,58,29,0.5,0.2248062015503876,0.18354430379746836,0.21900633719272636,0.3312532096031344,0.5785853714759414
0,1.0,chr2_5Mb,297,123,53,120,1,225,-195.8297782492522,0.08130081300813008,-324.1664558423353,-338.065422281161,133,54,32,0.5925925925925926,0.24060150375939848,0.2064516129032258,0.1928733484077176,0.284184910485444,0.6988534938767514
1,1.0,chr2_5Mb,297,123,53,120,1,226,-172.15179265543065,0.10569105691056911,-290.1664430637683,-311.06637820024633,123,50,24,0.48,0.1951219512195122,0.1610738255033557,0.191269119260241,0.28798900033445185,0.6860750976159874
2,1.0,chr2_5Mb,297,123,53,120,1,219,-276.89046713803396,0.0975609756097561,-353.05151934916984,-376.5317841219639,130,58,35,0.603448275862069,0.2692307692307692,0.22875816993464052,0.1859257019428729,0.2809370277013498,0.7057480005254706
3,1.0,chr2_5Mb,297,123,53,120,1,225,-113.34072616696866,0.04878048780487805,-233.19912023960842,-246.0297956594532,125,50,26,0.52,0.208,0.174496644295302,0.18451888203698927,0.26884724833508167,0.7155214612300776
4,1.0,chr2_5Mb,297,123,53,120,1,221,-217.0377257554309,0.07317073170731707,-343.8158523702926,-346.1427221546464,124,61,29,0.47540983606557374,0.23387096774193547,0.1858974358974359,0.20569792836890005,0.30168083746480784,0.6496310219758535
5,1.0,chr2_5Mb,297,123,53,120,1,218,-214.07871375807773,0.16260162601626016,-304.9226561277562,-316.4438453358736,122,54,21,0.3888888888888889,0.1721311475409836,0.13548387096774195,0.19340896741066782,0.2779523042274518,0.7069041718787985
6,1.0,chr2_5Mb,297,123,53,120,1,224,-292.3139871071138,0.08130081300813008,-398.5137059514916,-424.26115036268374,128,53,30,0.5660377358490566,0.234375,0.1986754966887417,0.20404259738070143,0.30014648054573,0.6652563436042157
7,1.0,chr2_5Mb,297,123,53,120,1,211,-116.58361477489784,0.032520325203252036,-350.5185338938169,-334.8923607314193,125,71,37,0.5211267605633803,0.296,0.23270440251572327,0.19541413899502588,0.2904774895975466,0.6776093651494449
8,1.0,chr2_5Mb,297,123,53,120,1,221,-127.91514219798412,0.04065040650406504,-252.1405150613099,-260.08638919697415,127,52,26,0.5,0.2047244094488189,0.16993464052287582,0.17939062247655216,0.26895030381762447,0.7269204261712306
9,1.0,chr2_5Mb,297,123,53,120,1,221,-198.6217112188107,0.06504065040650407,-313.68066724780573,-306.65286207869605,129,53,28,0.5283018867924528,0.21705426356589147,0.18181818181818182,0.18983664746375686,0.28168750961793737,0.7004451458672364
0,3.0,chr2_5Mb,297,123,53,120,1,221,-106.0679101976347,0.0975609756097561,-195.34205172613218,-197.98172669127564,133,47,29,0.6170212765957447,0.21804511278195488,0.19205298013245034,0.1666470759316133,0.24756112761456647,0.771116471569124
1,3.0,chr2_5Mb,297,123,53,120,1,229,-72.58774400993231,0.07317073170731707,-145.8793252027043,-154.59705593512646,123,41,25,0.6097560975609756,0.2032520325203252,0.17985611510791366,0.15773016102771922,0.23414249016477662,0.7975354589294589
2,3.0,chr2_5Mb,297,123,53,120,1,220,-65.24044792684295,0.08943089430894309,-138.87981224983437,-157.14920243475174,130,49,26,0.5306122448979592,0.2,0.16993464052287582,0.1618673983384561,0.23578934892860326,0.7898325762348799
3,3.0,chr2_5Mb,297,123,53,120,1,227,-97.27648983476521,0.04878048780487805,-221.7118177281829,-212.4759852146389,125,44,21,0.4772727272727273,0.168,0.14189189189189189,0.17144427906406123,0.24789361482496788,0.7700966262616776
4,3.0,chr2_5Mb,297,123,53,120,1,214,-105.86420385180637,0.11382113821138211,-202.8886895194105,-211.3799787059266,124,54,28,0.5185185185185185,0.22580645161290322,0.18666666666666668,0.1669755960349097,0.25103018755026046,0.7727457252084221
5,3.0,chr2_5Mb,297,123,53,120,1,221,-113.38791830186354,0.10569105691056911,-174.71363495453377,-178.6787056401961,122,51,32,0.6274509803921569,0.26229508196721313,0.22695035460992907,0.14989339619472597,0.22271323856648434,0.8130678386705672
6,3.0,chr2_5Mb,297,123,53,120,1,217,-107.340129501269,0.13008130081300814,-170.89072304817677,-180.64512182367744,128,47,27,0.574468085106383,0.2109375,0.18243243243243243,0.16853420117722134,0.24321334162397207,0.7781329578619024
7,3.0,chr2_5Mb,297,123,53,120,1,222,-68.29038802288794,0.04065040650406504,-177.75746877832,-172.97556424474487,125,44,22,0.5,0.176,0.14965986394557823,0.16554235807621984,0.24402772928376903,0.7746072642992008
8,3.0,chr2_5Mb,297,123,53,120,1,226,-81.74522880060607,0.04065040650406504,-197.06545788712288,-193.3972968855153,127,44,26,0.5909090909090909,0.2047244094488189,0.1793103448275862,0.16711788482177986,0.2515034279944956,0.7598186686213032
9,3.0,chr2_5Mb,297,123,53,120,1,228,-127.20190162990772,0.14634146341463414,-200.04487118525049,-214.06806063172817,129,45,23,0.5111111111111111,0.17829457364341086,0.152317880794702,0.1696327078699073,0.2526905685026082,0.765326840391956
0,10.0,chr2_5Mb,297,123,53,120,1,224,-123.51933730564174,0.11382113821138211,-193.18780869629293,-204.2105423482366,133,41,28,0.6829268292682927,0.21052631578947367,0.1917808219178082,0.16028211419715654,0.23146198496537806,0.8011582495885047
1,10.0,chr2_5Mb,297,123,53,120,1,221,-68.24670039020481,0.13008130081300814,-121.58121354801978,-133.9156146476747,123,42,30,0.7142857142857143,0.24390243902439024,0.2222222222222222,0.14989425040187435,0.22351006960373712,0.8105054178762031
2,10.0,chr2_5Mb,297,123,53,120,1,222,-73.35515628605717,0.056910569105691054,-149.36187821207156,-157.07911411014732,130,47,31,0.6595744680851063,0.23846153846153847,0.21232876712328766,0.15635025110223771,0.2349025262655201,0.7945837257130103
3,10.0,chr2_5Mb,297,123,53,120,1,220,-49.99542394903585,0.04878048780487805,-178.110885575592,-172.55694922445423,125,51,32,0.6274509803921569,0.256,0.2222222222222222,0.1530445537080319,0.21958965086133286,0.8224902022249881
